전반적 만족도,출입국 절차,대중교통,숙박,음식,쇼핑,관광지 매력도,여행경비,치안(안전성),"모바일,인터넷 이용 편의",언어소통,길 찾기,관광안내서비스
5,4,5,5,4,0,4,5,5,5,4,4,4
4,4,4,3,2,4,3,3,4,5,3,4,4
5,3,4,4,3,5,5,4,5,5,4,5,5
4,4,5,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,4,4,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,4,5,4,4,3,0
5,5,5,5,5,5,4,5,5,5,5,4,3
4,5,4,4,5,3,5,4,4,3,3,4,3
5,5,5,5,5,5,5,5,5,5,4,5,5
4,4,4,4,4,4,4,4,4,4,3,4,3
5,4,4,5,5,4,0,3,5,5,3,3,4
5,5,4,5,4,4,4,3,5,5,4,3,4
5,4,4,5,4,5,0,0,5,4,3,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,5,4,5,5,5,5,5,4,4,5
4,4,4,4,4,4,4,4,4,4,4,4,4
3,4,4,4,4,4,0,4,4,4,4,4,0
5,5,5,5,5,5,5,5,5,5,5,3,5
4,4,5,4,5,4,4,5,4,4,4,4,0
5,4,4,5,5,0,0,4,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,3,5,1,3,4,3,5,5,4,3,2
4,4,4,4,4,5,5,4,4,2,2,3,4
5,5,5,5,5,5,5,5,5,5,5,5,0
5,5,3,5,5,0,5,0,5,4,4,3,4
4,4,4,4,4,0,0,4,4,4,4,4,4
5,5,5,5,5,5,3,3,5,5,1,2,2
5,5,5,4,5,4,0,0,5,5,3,3,3
5,5,5,5,4,4,4,4,5,5,4,4,4
4,4,5,0,4,4,5,4,5,3,4,4,4
5,5,5,0,5,4,5,3,5,5,5,5,5
5,5,5,5,5,5,5,5,5,4,5,4,5
5,5,5,5,5,5,5,5,5,5,4,4,5
5,5,5,5,5,5,5,5,5,5,4,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5
5,3,3,3,4,4,4,4,5,2,4,4,4
5,4,5,1,4,5,5,5,5,5,3,5,4
4,5,4,0,5,3,4,3,4,3,4,4,4
5,5,5,5,3,0,5,5,5,5,3,3,4
4,4,5,0,4,4,4,4,5,5,3,2,2
4,4,5,0,4,4,3,3,3,4,2,3,3
5,5,5,0,5,5,5,4,5,5,4,4,5
5,3,4,0,5,4,5,5,5,5,4,4,4
5,4,4,0,5,5,5,4,4,3,3,3,5
5,5,4,0,4,0,4,4,4,5,5,0,0
5,5,5,0,5,5,5,5,5,5,4,5,5
4,5,2,4,5,5,5,4,5,4,2,2,4
4,4,4,3,4,0,4,4,5,5,4,4,0
4,5,5,5,5,5,4,5,5,2,4,4,5
4,5,4,0,4,0,3,5,5,4,4,3,5
4,5,5,5,4,4,0,5,4,4,3,3,4
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,4,5,5,4,4,5,5,4,4,4
3,4,5,4,4,4,4,1,4,5,3,5,5
5,5,5,0,5,5,5,4,5,4,4,4,5
4,5,4,0,4,3,4,4,5,5,3,3,0
4,5,4,5,5,5,4,4,5,2,2,3,4
4,4,4,5,4,5,4,5,4,4,4,5,5
5,4,5,5,4,0,0,5,5,5,4,5,5
5,5,5,0,5,3,5,5,5,5,3,3,3
4,5,5,4,5,5,5,4,5,5,5,5,5
5,5,5,5,5,4,4,4,5,5,3,4,3
5,4,5,5,5,4,4,3,4,4,3,0,4
5,5,5,0,5,5,5,5,5,5,4,4,5
4,4,4,5,4,4,4,4,4,4,4,0,0
5,5,5,5,5,0,5,5,5,5,5,5,5
4,4,4,4,3,0,3,2,4,4,3,3,3
5,5,3,5,5,4,5,5,5,3,4,3,4
5,4,5,5,5,5,5,5,5,3,4,2,4
4,5,5,5,5,5,5,3,5,5,5,5,4
5,4,4,4,5,4,5,4,4,4,3,4,0
5,4,5,5,4,0,4,3,5,5,2,4,4
5,5,5,4,4,4,5,4,5,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
4,3,3,4,4,5,5,4,5,4,3,3,3
4,5,4,3,4,0,0,0,3,3,4,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,4,4,4,4,4,5,2,3,3,4
3,5,3,4,3,3,2,3,5,5,3,2,0
5,4,4,5,5,0,0,0,5,5,3,4,0
4,5,3,5,5,0,3,4,5,5,2,3,0
4,5,4,3,4,4,4,4,4,4,2,4,4
4,4,4,4,5,3,4,0,4,4,4,4,0
3,5,5,5,5,5,0,4,5,5,5,5,0
4,4,4,4,4,4,0,4,4,4,4,4,0
3,4,4,4,4,4,0,4,4,4,4,4,0
5,4,4,4,4,5,4,4,4,4,3,4,4
3,4,4,4,4,0,4,4,4,4,4,4,0
3,4,4,4,4,4,0,0,4,4,4,4,0
4,4,4,4,4,4,0,0,4,3,4,0,0
3,4,4,4,4,0,0,4,4,4,4,0,0
5,5,5,5,5,5,5,3,5,5,5,5,0
5,5,4,5,4,4,4,5,5,4,4,5,5
4,5,5,5,2,4,4,4,5,4,3,3,4
5,5,5,5,5,5,5,5,5,5,3,5,5
4,4,5,4,5,0,4,5,4,5,2,0,3
5,5,5,0,5,5,5,5,5,5,5,5,5
4,4,4,3,5,2,5,3,5,2,3,2,2
5,5,5,0,5,4,5,5,5,5,5,5,5
4,4,4,5,4,4,3,3,4,4,4,4,0
5,5,4,4,5,0,5,5,5,5,4,4,4
3,5,2,3,4,1,0,3,4,1,1,4,4
4,5,4,3,5,0,4,3,5,4,3,3,4
5,5,5,5,5,0,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4
3,4,3,4,4,4,3,3,4,4,1,2,3
5,5,5,4,5,4,5,5,5,3,5,5,5
4,4,4,3,4,4,4,3,4,4,2,3,4
5,4,5,4,5,5,5,4,5,3,2,3,3
5,4,5,4,5,0,0,0,5,4,3,4,0
5,5,4,5,5,4,4,5,5,4,4,5,4
4,4,4,4,3,3,2,3,5,4,3,3,2
5,5,4,5,5,4,4,4,4,3,2,2,2
4,4,2,4,3,3,4,3,4,3,3,3,4
4,5,4,5,3,0,4,5,5,5,2,2,3
5,5,5,5,5,5,4,4,5,5,3,5,3
5,5,5,0,4,4,5,5,5,4,4,5,5
4,4,3,4,2,4,4,3,4,4,1,1,1
5,5,5,5,5,4,5,4,4,5,3,5,5
3,5,4,5,5,3,3,3,5,3,3,4,4
4,5,5,5,4,4,5,4,5,0,4,4,5
4,4,4,4,4,4,4,3,4,4,4,4,4
4,3,4,3,3,3,4,3,4,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,0,4,5,5,5,5,5
4,3,3,5,5,4,3,3,4,4,4,3,3
5,5,4,5,4,5,5,5,5,5,3,3,2
5,5,5,5,4,4,5,4,5,5,3,5,0
5,4,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,4,4,5,3,5,5
4,4,4,3,4,0,4,4,4,4,4,4,0
4,5,5,5,5,5,5,5,5,5,4,5,5
5,5,1,0,5,5,5,0,5,4,4,4,5
5,5,5,0,3,4,5,4,5,5,4,0,0
4,5,5,5,3,4,4,4,4,5,4,4,5
3,4,1,3,4,4,0,4,4,4,3,2,1
4,5,5,5,5,5,4,4,5,5,2,4,4
4,4,4,4,4,4,5,3,5,3,4,4,4
5,5,5,0,5,0,5,5,5,5,5,5,5
4,4,5,5,3,5,4,4,5,0,3,4,0
5,5,5,0,3,5,5,5,5,5,5,5,5
5,5,5,5,4,5,5,4,5,3,3,3,3
5,5,5,5,4,4,5,4,5,4,4,4,0
4,4,4,3,4,0,4,0,4,4,3,5,0
5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,5,4,4,4,4,3,4,5,2,2,3
5,5,3,5,5,0,0,0,5,5,5,0,0
5,5,5,5,3,3,4,3,5,4,3,3,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,2,3,3
4,5,4,0,4,0,5,3,5,5,5,0,4
5,4,4,3,5,5,4,3,5,3,4,2,3
5,4,5,5,5,4,0,4,5,5,4,0,0
4,4,4,4,5,5,5,4,5,5,5,5,3
4,5,5,5,5,5,3,3,5,3,3,2,0
5,4,4,3,5,5,5,4,5,4,3,2,0
5,4,4,3,4,2,4,5,3,4,5,3,4
5,5,5,4,5,5,5,4,5,5,3,5,5
4,4,4,5,5,5,5,5,5,4,3,4,3
4,5,5,4,5,4,5,4,5,1,3,4,3
4,4,4,4,4,4,4,4,5,4,4,4,5
5,5,5,5,5,0,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,5,5,2,3,3
4,5,3,5,3,4,3,5,5,5,2,2,3
5,3,5,5,5,5,5,4,5,5,3,2,4
5,5,5,5,5,0,0,0,5,5,5,5,4
4,3,5,4,1,3,5,2,5,5,2,4,3
4,4,4,4,4,4,4,3,4,3,3,3,3
4,4,5,4,4,4,4,3,5,4,4,4,4
5,4,2,4,4,0,3,0,5,5,2,4,0
4,4,4,4,4,4,4,4,4,4,4,4,4
3,5,5,5,3,0,5,3,5,4,3,3,3
5,5,5,4,4,0,4,4,5,5,4,4,4
4,4,4,3,3,3,4,4,4,4,4,4,4
5,5,5,5,4,4,5,4,4,5,4,5,5
4,4,4,4,4,0,4,0,5,5,3,5,5
5,5,4,3,5,4,5,3,5,4,5,5,5
4,4,4,4,4,4,0,4,5,4,4,4,0
5,4,5,5,5,3,4,4,4,1,3,4,4
5,5,4,5,5,5,4,4,4,4,5,5,5
4,3,3,0,3,3,3,3,3,3,3,2,2
5,4,4,5,4,4,5,0,5,5,4,5,4
5,2,5,5,5,0,5,5,5,5,5,5,5
5,5,5,5,5,5,5,4,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,5,5,5,5,5,5,5,5,5,5
3,4,4,5,5,3,2,4,5,4,4,3,0
4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,1,4,4,5,5,4,5,2,2,1,0
5,3,4,4,5,4,3,4,4,5,5,4,3
4,3,4,4,5,5,5,3,5,5,4,3,4
5,5,5,5,5,5,5,5,5,5,4,4,5
5,5,5,5,5,5,5,5,5,5,4,4,0
5,5,5,3,5,5,5,5,5,5,5,5,0
5,5,5,5,5,5,5,5,4,5,5,5,5
5,3,4,4,5,5,4,4,4,5,4,3,0
4,5,3,5,5,4,4,3,5,3,3,4,0
4,4,3,3,4,4,4,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4
4,1,4,4,4,4,3,3,4,3,3,3,4
5,5,5,5,4,4,4,4,5,5,1,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,0
4,5,5,4,5,5,3,3,5,5,3,2,5
4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,4,5,5,3,4,5
4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,4,4,5,5,4,4,4,4,3,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
3,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,3,3,5,4,4,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,5,5,5,5,5,4,4,4,3,3,3
5,5,5,4,5,5,5,4,5,4,5,4,5
4,5,3,4,5,5,5,4,4,4,2,2,3
4,4,4,5,4,5,4,4,4,3,2,4,4
4,4,5,5,5,5,5,5,5,5,4,5,4
5,5,5,3,4,5,5,5,5,5,4,4,4
4,4,4,4,4,4,4,4,4,4,4,0,0
4,5,5,5,5,5,4,5,5,5,5,5,5
5,5,5,4,4,5,5,5,5,5,3,3,4
5,4,4,4,3,4,4,3,5,3,4,4,4
3,3,3,4,3,4,3,3,5,4,3,3,3
4,5,5,5,4,4,4,4,5,5,3,4,4
4,5,4,4,4,5,4,4,4,4,3,4,4
4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,4,4,4
4,4,4,3,4,4,4,4,4,3,2,4,4
3,4,3,2,3,5,4,4,4,4,1,2,3
4,3,3,3,3,3,4,3,4,3,2,3,3
4,4,5,5,5,5,4,4,5,5,3,3,4
4,5,5,5,5,5,5,5,5,4,3,4,5
4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,3,3,4,4,4,4,5,5,4
5,5,5,5,5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,4,5,5,4,5,5
4,4,5,4,4,5,5,4,3,4,5,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,4,5,4,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,4,4,5,5,5,4,4,5,5
5,5,5,5,5,5,5,4,4,4,5,4,5
3,4,3,4,3,5,3,3,3,4,1,4,5
5,5,5,5,5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,5,5,5,5,5,5,5
4,4,4,4,5,5,5,5,5,5,3,5,5
5,5,5,5,5,5,5,5,5,5,1,0,0
4,5,5,5,5,5,5,4,5,5,2,0,0
4,5,3,4,4,4,4,3,4,5,3,2,3
5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,4,3,4,4,5,4,2,4,5
4,4,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,3,4,4,3,4,0
5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,4,4,4,5,5,5,5,5,5,5,5
5,4,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,4,5,5,4,5,5,3,5,4
4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,4,5,5
5,4,5,5,5,4,5,3,5,5,3,5,5
4,4,4,4,4,4,5,4,4,4,3,2,3
4,5,3,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,3,4,4,3,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,3,5,5,5,5,4,5,5,3,4,4
5,5,5,5,5,5,5,4,5,4,4,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,4,5,5,5,5,5,4,5,3,3,4
5,5,5,4,5,5,5,5,5,5,5,5,5
4,4,4,4,4,5,5,3,5,5,4,5,5
5,5,5,5,5,5,3,5,5,4,4,5,0
4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,5,4,5,0,0,4,4,4,4,0,5
5,3,4,4,3,4,4,3,5,5,2,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4
1,5,5,5,5,4,5,5,5,5,3,4,5
4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,4,5,5,5,4,5,5,4,4,4
4,3,3,3,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,4,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,4,5,5,4,4,5,4,4,4,4
4,4,3,4,5,4,4,3,5,3,3,4,4
5,5,4,3,4,5,5,5,5,4,2,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,4,4,4,4,4,3,4,3,3,3,0
4,4,3,2,4,2,3,4,5,4,1,2,3
4,4,4,4,5,4,5,5,5,5,3,4,4
4,4,5,4,4,4,5,4,5,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,4,5,4,5,4,5,5,4,3,4
4,4,4,4,5,4,4,4,4,4,3,3,3
3,5,2,3,4,4,3,2,5,4,3,4,4
4,4,5,4,4,4,4,4,4,5,3,5,3
4,4,3,3,3,4,3,3,4,4,4,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5
4,3,4,5,4,5,5,4,4,4,4,4,4
4,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,4,5,5,4,4,5,4
4,5,5,4,4,4,4,5,5,5,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,3,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,4,4,0,5,5,5,5,4,5,5
5,5,5,5,5,5,5,4,5,5,2,5,5
5,5,0,5,4,4,5,4,5,4,4,0,0
5,3,4,5,5,3,4,3,5,5,5,3,4
5,5,5,5,5,5,5,5,5,5,5,4,4
5,5,4,5,5,5,3,3,5,0,3,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,5,5,0,4,4,5,5,5,4,0
4,4,4,3,4,4,5,5,5,3,4,4,5
5,5,5,5,5,5,5,3,5,5,4,4,4
5,5,5,5,5,5,5,3,5,5,5,5,5
4,5,5,3,4,4,5,3,4,5,3,4,4
5,3,3,3,4,4,4,4,4,4,3,4,4
5,4,5,4,5,4,5,4,4,4,4,4,4
5,5,5,5,4,5,5,4,5,5,4,5,5
5,5,5,5,5,5,4,4,5,5,3,3,3
4,5,5,5,4,4,5,5,5,4,3,5,5
5,4,5,5,5,5,5,4,5,5,4,5,5
5,4,5,4,5,3,5,4,5,5,3,4,0
5,3,5,4,5,5,5,4,5,5,4,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,5,3,4,4,4,4,2,2,4
5,5,5,5,4,4,5,4,5,5,4,5,4
5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,3,4,4,3,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,0
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,3,4,5
5,5,5,5,5,5,5,5,5,5,4,5,5
4,5,5,3,4,4,2,2,3,4,4,3,3
5,4,4,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,3,3,4
5,5,5,5,5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,0
5,5,5,4,5,5,5,4,5,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,4,4,4,4,3,4,4
3,4,4,0,4,4,0,0,4,4,4,4,0
4,4,4,4,4,4,4,4,4,4,4,4,0
5,4,4,4,4,4,5,4,5,3,1,4,3
5,5,3,5,5,5,5,5,5,5,4,3,3
4,4,4,4,5,4,4,5,4,3,2,4,4
4,4,4,4,4,4,3,3,4,5,3,4,4
4,4,4,4,5,5,5,5,5,5,3,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,4,5,4,5,3,5,5,5,4,4
4,5,5,4,5,4,4,3,5,4,3,4,4
4,5,5,5,5,5,5,5,5,5,5,5,5
4,5,4,5,4,4,4,3,5,5,3,4,4
5,4,4,5,5,5,5,4,5,5,4,5,5
5,5,5,4,4,5,5,4,5,5,3,0,0
5,4,5,5,5,0,4,2,4,4,4,4,4
3,4,5,5,3,5,3,3,5,0,4,3,4
4,5,4,4,4,4,4,4,5,4,4,4,5
5,4,5,5,5,5,5,4,5,5,3,4,4
5,5,5,5,4,4,5,5,5,5,4,5,5
4,5,5,5,5,5,5,5,5,5,3,5,5
5,5,5,5,4,4,5,5,5,5,5,4,0
5,5,5,5,5,5,5,0,4,5,4,5,4
3,4,4,4,4,4,3,3,4,4,3,3,3
4,5,4,4,4,5,3,4,4,4,3,3,4
5,5,4,5,4,5,5,4,5,5,4,5,4
5,5,5,5,5,5,5,5,5,5,4,5,5
4,4,5,5,5,5,4,3,4,3,3,3,4
3,4,4,4,3,5,5,4,5,5,3,4,4
5,5,5,5,4,4,5,5,5,4,3,5,5
5,4,5,4,4,4,5,5,5,4,3,5,4
5,5,4,5,4,0,5,3,5,4,3,3,4
4,5,5,5,1,3,3,3,5,3,2,0,0
4,5,5,5,5,5,5,5,5,5,5,5,5
3,4,5,5,3,3,5,4,5,5,4,3,4
5,5,5,5,4,4,4,4,5,4,3,4,3
4,5,4,4,4,4,4,3,5,4,4,3,4
5,4,5,3,4,4,4,5,5,5,3,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5
5,3,4,5,5,4,5,4,5,5,4,4,4
4,4,4,5,5,4,5,4,4,4,2,3,4
5,5,5,5,5,4,5,5,5,5,4,5,5
5,4,5,5,4,5,5,4,5,5,3,4,4
4,5,4,4,4,4,4,5,5,5,4,4,0
5,5,4,5,5,4,2,4,5,5,3,4,5
4,5,4,4,4,3,4,4,4,4,3,3,4
5,5,5,5,5,5,5,5,5,5,5,5,5
5,3,4,5,4,4,4,4,5,5,3,5,4
5,5,5,5,5,5,5,5,5,5,5,4,4
5,5,5,5,5,5,5,5,5,5,3,4,4
4,4,5,4,5,3,4,3,5,5,4,4,4
5,4,5,4,4,4,4,4,5,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,5,3,5,5,4,4,3,3,5,4
5,5,5,5,5,5,5,5,5,5,3,5,0
5,5,5,4,5,5,4,4,5,5,3,4,4
4,4,4,4,3,4,4,4,4,4,3,3,4
4,5,3,5,3,5,4,4,5,2,3,3,4
4,5,0,5,3,0,4,3,5,5,4,4,0
4,4,4,4,4,4,4,3,3,3,3,3,4
